variable,ISO,region,scenario,year,value
Need of heating only,MRT,Mauritania,SDS,2040,0.0
Need of heating only,LAO,Lao People's Democratic Republic,SDS,2040,0.0
Need of heating only,BLR,Belarus,SDS,2040,10.1
Need of heating only,ESH,Western Sahara,SDS,2040,0.0
Need of heating only,POL,Poland,SDS,2040,1.1
Need of heating only,LUX,Luxembourg,SDS,2040,8.2
Need of heating only,IRN,Iran,SDS,2040,0.1
Need of heating only,SRB,Serbia,SDS,2040,0.0
Need of heating only,PNG,Papua New Guinea,SDS,2040,0.0
Need of heating only,DOM,Dominican Republic,SDS,2040,0.0
Need of heating only,WLF,Wallis and Futuna,STEPS,2040,0.0
Need of heating only,MSR,Montserrat,STEPS,2040,0.0
Need of heating only,MLI,Mali,STEPS,2040,0.0
Need of heating only,CUB,Cuba,STEPS,2040,0.0
Need of heating only,TGO,Togo,STEPS,2040,0.0
Need of heating only,UMI,United States Minor Outlying Islands,STEPS,2040,0.0
Need of heating only,BTN,Bhutan,STEPS,2040,11.6
Need of heating only,XKX,Kosovo,STEPS,2040,0.0
Need of heating only,NCL,New Caledonia,STEPS,2040,0.0
Need of heating only,BES,Sint Maarten,STEPS,2040,0.0
Need of heating only,JOR,Jordan,STEPS,2040,0.0
Need of heating only,VIR,United States Virgin Islands,STEPS,2040,0.0
Need of heating only,ZMB,Zambia,STEPS,2040,0.0
Need of heating only,GUY,Guyana,STEPS,2040,0.0
Need of heating only,KNA,Saint Kitts and Nevis,STEPS,2040,0.0
Need of heating only,SVK,Slovak Republic,STEPS,2040,7.4
Need of heating only,GAB,Gabon,STEPS,2040,0.0
Need of heating only,GRC,Greece,STEPS,2040,0.0
Need of heating only,GHA,Ghana,STEPS,2040,0.0
