LATITUDE;LONGITUDE;SECTOR;value
49.48;0.28;Chemicals;0
49.22;1.15;Chemicals;0
44.08;5.99;Chemicals;0
49.46;1.05;Chemicals;0
49.48;0.57;Chemicals;0
49.48;0.28;Chemicals;0
51.4212;8.0286;Chemicals;0
49.09;1.43;Chemicals;0
47.29;5;Chemicals;0
49.5;0.53;Chemicals;0
48.51;3.63;Chemicals;0
51.4412;7.3557;Chemicals;0
51.5109;7.1842;Chemicals;0
52.4308;13.7487;Chemicals;0
51.909;10.4967;Chemicals;0
43.65;6.93;Chemicals;0
46.18;6.26;Chemicals;0
49.49;0.13;Chemicals;0
43.5;5.16;Chemicals;0
43.84;7.16;Chemicals;0
47.39;-0.04;Chemicals;0
50.8391;6.9748;Chemicals;0
48.1152;6.5376;Chemicals;0
51.8266;9.4605;Chemicals;0
51.0189;6.9526;Chemicals;0
43.5;5.16;Chemicals;0
43.69;6.96;Chemicals;0
49.34;1.07;Chemicals;0
43.45;4.9;Chemicals;0
45.7;4.85;Chemicals;0
51.075;6.8351;Chemicals;0
50.8413;6.9655;Chemicals;0
43.45;4.9;Chemicals;0
50.44;2.85;Chemicals;0
51.4411;7.3547;Chemicals;0
51.0247;6.9868;Chemicals;0
49.37;2.4;Chemicals;0
48.97;2.61;Chemicals;0
51.4872;13.8952;Chemicals;0
50.9681;1.9007;Chemicals;0
47.81;7.09;Chemicals;0
51.3769;6.6558;Chemicals;0
43.65;6.93;Chemicals;0
43.38;5.04;Chemicals;0
48.64;6.24;Chemicals;0
48.95;2.96;Chemicals;0
47.83;7.54;Chemicals;0
51.3784;6.6614;Chemicals;0
43.96;-1.07;Chemicals;0
49.12;6.71;Chemicals;0
48.62;4.94;Chemicals;0
47.32;-2.14;Chemicals;0
43.61;2.23;Chemicals;0
51.8095;6.5492;Chemicals;0
43.39;3.64;Chemicals;0
53.3547;-2.8523;Chemicals;0
49.12;6.71;Chemicals;0
53.7745;-2.7981;Chemicals;0
49.1608;9.2145;Chemicals;0
54.6093;-1.2001;Chemicals;0
50.6;3.02;Chemicals;0
44.16;4.16;Chemicals;0
47.42;-0.87;Chemicals;0
53.1623;-2.4037;Chemicals;0
48.99;7.01;Chemicals;0
47.83;7.54;Chemicals;0
50.3;2.8;Chemicals;0
53.5259;-2.3183;Chemicals;0
53.4729;-2.3269;Chemicals;0
54.8998;-1.5883;Chemicals;0
54.609;-1.5675;Chemicals;0
49.32;1.17;Chemicals;0
49.14;5.36;Chemicals;0
46.83;-1.84;Chemicals;0
51.5688;-2.9739;Chemicals;0
51.8799;4.2596;Chemicals;0
51.8982;4.2697;Chemicals;0
49.619;8.4417;Chemicals;0
53.4152;-4.3402;Chemicals;0
50.44;2.71;Chemicals;0
50.1197;8.9719;Chemicals;0
49.5543;8.413;Chemicals;0
53.7314;-1.3465;Chemicals;0
51.577;7.2986;Chemicals;0
51.896;-0.2055;Chemicals;0
47.78;7.49;Chemicals;0
49.4515;8.4356;Chemicals;0
50.0371;8.2556;Chemicals;0
50.65;3.04;Chemicals;0
50.0326;8.2512;Chemicals;0
43.45;4.9;Chemicals;0
53.3566;-2.7975;Chemicals;0
54.576;-1.2211;Chemicals;0
52.054;-0.0348;Chemicals;0
50.0907;8.5258;Chemicals;0
53.8771;-2.9967;Chemicals;0
51.8831;4.2901;Chemicals;0
53.3206;6.9482;Chemicals;0
51.226;5.6048;Chemicals;0
54.5852;-1.2667;Chemicals;0
53.4811;-2.0654;Chemicals;0
53.4835;-2.8487;Chemicals;0
51.5214;-2.686;Chemicals;0
50.0882;8.5219;Chemicals;0
49.4637;8.4414;Chemicals;0
52.3138;7.6301;Chemicals;0
53.2828;-2.4579;Chemicals;0
52.5976;9.0407;Chemicals;0
53.4865;-2.8515;Chemicals;0
51.6972;5.0548;Chemicals;0
49.47;0.3;Chemicals;0
49.3358;8.419;Chemicals;0
50.0288;8.4839;Chemicals;0
50.0898;8.5252;Chemicals;0
43.0898;0.3717;Chemicals;0
50.0289;8.2335;Chemicals;0
54.0579;-2.8367;Chemicals;0
51.6813;7.0959;Chemicals;0
49.6641;8.3627;Chemicals;0
50.5111;7.3147;Chemicals;0
52.4229;9.6886;Chemicals;0
50.28;3.31;Chemicals;0
47.6;7.56;Chemicals;0
51.8917;4.3364;Chemicals;0
49.7687;8.4789;Chemicals;0
43.38;5.04;Chemicals;0
50.52;2.64;Chemicals;0
53.605;-1.4332;Chemicals;0
52.4064;4.8737;Chemicals;0
51.1153;4.9927;Chemicals;0
54.1375;12.3145;Chemicals;0
53.6458;9.4991;Chemicals;0
51.181;3.7916;Chemicals;0
51.2554;4.3295;Chemicals;0
51.6814;-4.2474;Chemicals;0
51.5511;-3.0361;Chemicals;0
51.1791;6.8383;Chemicals;0
53.6147;-0.1602;Chemicals;0
50.0947;8.5404;Chemicals;0
43.38;5.04;Chemicals;0
47.83;7.54;Chemicals;0
51.8733;4.2969;Chemicals;0
52.1681;5.5775;Chemicals;0
50.8029;4.9646;Chemicals;0
51.2898;4.2828;Chemicals;0
51.6836;7.1041;Chemicals;0
51.8886;4.2558;Chemicals;0
51.0991;5.054;Chemicals;0
53.3155;6.9585;Chemicals;0
52.2801;-0.842;Chemicals;0
51.0749;5.11;Chemicals;0
53.2691;-1.3687;Chemicals;0
51.4989;6.7613;Chemicals;0
54.5296;-3.5978;Chemicals;0
54.4404;-1.3092;Chemicals;0
51.2359;4.3258;Chemicals;0
52.4897;7.3104;Chemicals;0
47.23;-1.54;Chemicals;0
52.3855;4.9405;Chemicals;0
