SECTOR;value;LATITUDE;LONGITUDE
Cement;0.063;30.1296;104.6324
Cement;0.09001;30.8238;104.158
Cement;0.13951;28.7314;103.808
Cement;0.09001;28.6382;103.9247
Cement;0.56254;31.8631;104.7664
Cement;0.56254;30.1859;106.8308
Cement;0.09001;29.3715;104.782
Cement;0.09001;29.1802;104.9751
Cement;0.0765;30.1176;104.6522
Cement;0.70205;39.2465;117.1186
Cement;0.27902;29.2592;92.0158
Cement;0.0585;30.1102;91.2304
Cement;0.0585;29.5917;91.2435
Cement;0.13951;29.3801;92.2706
Cement;0.018;29.3801;92.2706
Cement;0.0405;31.1407;97.1723
Cement;0.063;29.6467;91.0154
Cement;0.35102;29.6442;91.1122
Cement;0.063;29.2682;88.8766
Cement;0.35102;44.8539;82.0511
Cement;0.0225;47.112;87.4868
Cement;0.13951;46.793;85.7286
Cement;0.13951;46.793;85.7286
Cement;0.0675;44.056;80.879
Cement;0.0675;38.0372;78.475
Cement;0.0495;44.517;86.1347
Cement;0.90006;44.5011;86.1259
Cement;0.045;39.788;76.6605
Cement;0.37802;43.8266;87.6169
Cement;0.70205;43.8941;87.7666
Cement;1.35009;43.8266;87.6169
Cement;0.35102;42.8186;93.5154
Cement;0.13951;42.3227;86.3831
Cement;0.13951;42.7994;88.638
Cement;0.13951;42.8182;93.5154
Cement;0.31502;44.1574;87.9845
Cement;0.0585;39.4714;75.9945
Cement;0.054;24.6724;102.1592
Cement;0.054;25.7048;101.8722
Cement;0.16651;24.9564;102.6354
Cement;0.27902;26.6301;101.2639
Cement;0.98106;25.1392;100.312
Cement;0.21151;24.4552;102.8361
Cement;0.045;25.6742;104.2549
Cement;0.13951;24.127;102.794
Cement;0.036;25.4952;102.4289
Cement;0.35102;26.1853;104.1232
Cement;0.27902;24.7196;97.9515
Cement;0.70205;26.3039;100.6263
Cement;0.86856;24.9921;103.6196
Cement;0.072;24.0139;102.1731
Cement;0.054;24.3633;102.5458
Cement;0.54003;23.3607;104.2238
Cement;0.13951;25.6016;103.8198
Cement;0.13951;24.3417;102.5362
Cement;0.054;24.3608;102.4795
Cement;0.045;25.7075;103.861
Cement;0.56254;28.5573;104.3502
Cement;0.11251;27.3386;103.7143
Cement;0.036;24.6738;102.9082
Cement;0.036;24.1659;102.4051
Cement;0.45003;25.222;102.4977
Cement;0.045;25.6742;104.2549
Cement;0.22501;26.6292;101.2663
Cement;0.56254;27.3203;103.7059
Cement;0.054;26.0829;103.1877
Cement;0.0675;25.4821;103.3708
Cement;0.22501;25.1272;102.9988
Cement;0.42303;25.5432;102.8056
Cement;0.42303;25.2086;99.3251
Cement;0.17551;25.5894;103.0544
Cement;0.56254;25.0826;103.4545
Cement;0.35102;25.4709;103.3937
Cement;0.21151;25.0735;103.1134
Cement;0.27902;25.4821;103.3708
Cement;0.56254;24.1954;103.4521
Cement;0.36452;26.9026;100.5153
