SECTOR,value,LONGITUDE,LATITUDE
Chemicals,0.01086,6.71,49.12
Chemicals,0.027447,26.47,46.87
Chemicals,0.013909,-0.65,43.42
Chemicals,0.013017,24.29,45.04
Chemicals,0.081821,17.93,48.18
Chemicals,0.012645,17.26,50.46
Chemicals,0.038158,27.7,43.26
Chemicals,0.015397,17.95,49.5
Chemicals,0.119755,5.04,43.38
Chemicals,0.007736,-0.58,43.36
Chemicals,0.012794,-0.52,44.9
Chemicals,0.072374,24.5,46.51
Chemicals,0.017257,14.07,50.51
Chemicals,0.008926,7.01,48.99
Chemicals,0.041877,27.38,44.53
Chemicals,0.015174,5.04,43.38
Chemicals,0.072597,5.16,43.5
Chemicals,0.034811,26.94,46.51
Chemicals,0.024249,10.47,43.4
Chemicals,0.015025,4.9,43.45
Chemicals,0.062035,18.24,52.75
Chemicals,0.007587,12.51,42.5
Chemicals,0.017629,4.9,43.45
Chemicals,0.024844,7.49,47.78
Chemicals,0.021348,6.71,49.12
Chemicals,0.02224,5.16,43.5
Chemicals,0.016215,5.16,43.5
Chemicals,0.076614,5.16,43.5
Chemicals,0.0331,15.71,50.05
Chemicals,0.008256,5.42,43.29
Chemicals,0.030943,19.27,50.04
Chemicals,0.047084,2.97,48.58
Chemicals,0.078845,18.11,52.76
Chemicals,0.10711,14.54,53.57
Chemicals,0.007438,18.97,52.7
Chemicals,0.044481,6.36,48.61
Chemicals,0.04634,6.24,48.64
Chemicals,0.088515,-1.1,54.58
Chemicals,0.025811,26.47,46.87
Chemicals,0.010414,4.85,45.7
Chemicals,0.009075,13.28,45.83
Chemicals,0.079589,0.22,49.48
Chemicals,0.019414,8.115,45.2
Chemicals,0.061663,12.23,45.44
Chemicals,0.070961,12.23,45.44
Chemicals,0.032356,27.66,43.2
Chemicals,0.008331,4.26,51.88
Chemicals,0.009744,18.23,49.83
Chemicals,0.090746,0.57,49.48
Chemicals,0.092234,0.22,49.48
Chemicals,0.031836,0.22,49.48
Chemicals,0.013612,4.727,51.81
Chemicals,0.008851,4.26,51.88
Chemicals,0.010562,4.281,51.87
Chemicals,0.041282,4.33,51.88
Chemicals,0.011901,4.281,51.87
Chemicals,0.031761,4.295,51.87
Chemicals,0.024844,4.295,51.87
Chemicals,0.113061,5.04,43.38
Chemicals,0.008554,4.1,48.52
Chemicals,0.017182,6.962,53.31
Chemicals,0.027819,4.259,51.87
Chemicals,0.016141,4.727,51.81
Chemicals,0.011752,4.9,43.45
Chemicals,0.017257,4.264,51.89
Chemicals,0.008331,6.962,53.31
